graph,path,cfur_mean,cfur_sd,cfur_ci_lo,cfur_ci_hi,fair_gain_mean,fair_gain_sd,stat_drop_mean,stat_drop_sd
ground_truth,DE,-3.0108714049224066,,,,-0.06647005779601572,,0.022076684306828305,
ground_truth,IE,3.7464702482021552,,,,0.05817047785854282,,-0.015526742141302327,
ground_truth,SE,0.40595786545722234,,,,0.09048451562525661,,0.22289139658065227,
PC,DE,1.7536177952573113,,,,0.06517825700762162,,-0.037167880600057504,
PC,IE,1.0485424714015972,,,,0.05956110549262771,,0.05680371278443069,
PC,SE,0.27790224399725927,,,,0.040689337799074105,,0.14641601012651473,
GES,DE,-3.252127601985034,,,,-0.08060928608055598,,0.024786630667917493,
GES,IE,5.001206176311869,,,,0.0797473346706931,,-0.01594562018824467,
GES,SE,0.306240006959718,,,,0.06861388929709225,,0.2240526636204444,
FCI,DE,0.03666560060087905,,,,0.0011719422554811454,,-0.03196299072178538,
FCI,IE,2.9904104152314637,,,,0.005937335324318907,,0.0019854582484853684,
FCI,SE,0.47098459004920795,,,,0.14615332705221756,,0.3103144563388988,
